Edible,Color,Shape,Surface
,White, , 
P,Dark,Convex-Flat,Silky-Fibrous
P,Purple-Gray,Convex-Knobbed,Smooth
P,Brown,Conical-Convex,Smooth
P,Dark,Convex,FlatScales
P,Gray-Brown,Convex-Depressed,Smooth
P,Brown,Convex-Bellshaped,Smooth-Fibrous
P,Blue,Conical,Smooth-Fibrous
P,Green-Brown,Convex-Depressed, 
P,Brown,Convex-Bellshaped,Smooth
P,Dark,Convex-Depressed,Fibrous
P,Gray,Convex-Flat,Silky
E,White-Brown,Convex-Depressed,Smooth
P,Pale-Tan,Bellshaped,Smooth
E,White,Convex-Conical,Silky-Smooth
P,Brown,Convex-Conical,Smooth
P,White,Convex,Fibrous-Silky
P,Dark-Brown,Convex-Knobbed,Smooth
P,Dark,Convex-Depressed,Silky-Fibrous
P,White,Convex-Flat,Smooth
P,Brown-Dark,Conical-Flat,Smooth
P,Dark,JellyFungi,Smooth
P,Dark,JellyFungi,Smooth
P,White,JellyFungi,Smooth
E,Brown,JellyFungi,Smooth
P,White,JellyFungi,Smooth
P,White,Corticioid,Hairy
P,Orange,Shellshaped, 
P,White,Shellshaped, 
E,Red,Polypore,Smooth-Silky
P,Brown,Convex-Flat,RaisedScales
E,Orange-Brown,Convex,RaisedScales
E,Brown-Orange,Convex,Smooth
P,Gray,Polypore-Shellshaped,Smooth
E,Gray-Brown,Polypore,Smooth
E,Red-Dark,Polypore-Shellshaped,Smooth
,Yellow, , 
P,Brown-Dark,Polypore,Velvety
P,Brown,Convex-Conical,Smooth
P,Yellow-Brown,Convex-Flat,Smooth
I,Brown,Convex-Bellshaped,Smooth
P,Brown-Pale,Conical-Convex,Smooth
P,Brown,Conical-Convex,Smooth
I,Dark-Brown,CupFungi,Smooth
E,Gray-Brown,Polypore-Shellshaped,Smooth
I,Brown-Dark,Polypore-Shellshaped,Velvety
I,Red-Brown, ,Smooth
E,Red,Polypore-Shellshaped,Smooth
I,Red,Shellshaped,Smooth
E,Brown,Polypore-Shellshaped,Smooth
I,Gray,Earthstars,Smooth
I,White,Earthstars, 
P,Brown,Earthstars, 
I,Dark,Earthstars, 
I,Gray,Earthstars, 
I,Gray,Earthstars,Smooth
I,Gray,Earthstars, 
P, ,Earthstars, 
I,Brown,Earthstars, 
I,Brown-White,Earthstars, 
P,Dark,CoralFungi,Smooth
P,Dark,CoralFungi,Smooth
P,Pale,CupFungi, 
E,Brown,Truffles,Hairy
P,Brown,CupFungi,Smooth
P,Green,Convex,Smooth
P,Gray-Brown,Convex-Knobbed,Smooth
E,Orange-Brown,Convex-Depressed,Smooth
E,Green,Convex,Smooth
I,Orange-Brown,Polypore,Velvety-Hairy
E,Lilac-Brown,Convex-Depressed,Smooth
E,Brown-Pale,Convex-Depressed,Smooth
E,Pink-Pale,Convex-Depressed,Smooth
E,Red-Pink,Convex-Flat,Smooth
E,Pink,Convex-Flat,Smooth
E,Pink,Convex-Depressed,Smooth
E,Lilac,Funnelshaped-Depressed,Smooth-Silky
E,Gray,Polypore,Velvety-Silky
E,Orange,Funnelshaped-JellyFungi,Smooth-Silky
P,Yellow,JellyFungi,Smooth
I,Purple,Convex-Flat,RaisedScales
I,Orange-Brown,Convex-Flat,Smooth-Fibrous
E,Orange,Convex,Smooth
E,Pink-Yellow,Convex-Bellshaped,FlatScales
I,Brown,Convex,Smooth
I,Brown,Convex-Flat,Smooth
I,Brown,Convex-Depressed,Smooth
P,Brown-Pale,Convex-Bellshaped,Smooth
E,Brown-Pale,Convex,Smooth-Silky
E,Brown,Convex-Flat,Smooth
I,Yellow,Convex,Smooth
P,Orange,Corticioid,Smooth
E,Pale-Brown,Convex-Bolete,Smooth-Silky
E,Brown,Bolete-Convex,Smooth-Silky
P,Brown,FalseMorels,Smooth
E,Brown,FalseMorels,Smooth
P,Brown,FalseMorels,Smooth
I,Brown,FalseMorels,Smooth
E,Pale,Convex-Bolete,Hairy-Fibrous
E,Pink,Convex-Bolete,Smooth-Silky
P,Pale-Tan,Convex,Smooth
P,Brown,Convex-Flat,Smooth
P,Tan-Pale,Convex,Smooth-FlatScales
P,Tan,Convex-Flat,Smooth
P,Brown,Convex,Fibrous-FlatScales
P,Brown,CupFungi,Smooth
P,Dark-Gray,FalseMorels,Smooth
P,Gray,CupFungi,RaisedScales
P,White,FalseMorels,Smooth
E,Dark-Gray,FalseMorels,Smooth
P,Brown,FalseMorels,Smooth
I,Gray,CupFungi,Smooth-Velvety
E,Dark,FalseMorels,Smooth
P,White,CupFungi,Smooth
P,Gray-Brown,CupFungi,Smooth-RaisedScales
I,Gray-Dark,CupFungi,Hairy
P,Dark-Brown,CupFungi,Smooth
E,Dark,FalseMorels,Smooth
P,Pale-White,Corticioid,Smooth
E,Brown,Convex-Bolete,Smooth
P,White,Bellshaped-Conical,Smooth
E,White,Conical-Bellshaped,Fibrous-Smooth
,Yellow, , 
E,White,ToothFungi,Smooth
E,White,ToothFungi,Hairy
E,White,ToothFungi, 
E,White,ToothFungi,Hairy
P,Dark-Brown,Polypore-Shellshaped,Smooth
P,Dark-Gray,Convex-JellyFungi,Silky
P,Gray,Convex-Flat,Hairy
E,Brown-Yellow,Convex-Bolete,Silky-FlatScales
E,Brown,Convex-Bolete,Silky-FlatScales
